
Data,P,T Sonda,T IASI
2/4/2008,64.0,198.45,200.12
2/4/2008,113.8,192.24999999999997,193.76
2/4/2008,164.1,209.54999999999998,210.48
2/4/2008,213.4,223.34999999999997,223.26
2/4/2008,264.2,235.64999999999998,236.25
2/4/2008,314.2,244.74999999999997,242.93999
2/4/2008,363.3,252.24999999999997,248.01
2/4/2008,413.6,259.75,255.39
2/4/2008,463.8,264.95,260.58
2/4/2008,513.7,269.84999999999997,267.27
2/4/2008,564.2,273.34999999999997,271.06
2/4/2008,614.3,278.25,274.81
2/4/2008,664.0,278.75,279.79
2/4/2008,713.6,284.15,284.36
2/4/2008,764.8,288.45,286.31
2/4/2008,813.8,293.45,--
2/4/2008,863.7,295.04999999999995,--
2/4/2008,913.8,290.84999999999997,--
2/4/2008,964.4,294.54999999999995,--
2/4/2008,1014.5,297.15,--
26/3/2009,63.0,198.84999999999997,199.86
26/3/2009,112.9,195.24999999999997,192.5
26/3/2009,162.7,209.95,209.42
26/3/2009,213.3,223.54999999999998,222.04999
26/3/2009,263.1,234.34999999999997,235.93999
26/3/2009,312.9,242.74999999999997,244.92
26/3/2009,362.9,252.24999999999997,250.45
26/3/2009,413.3,258.95,258.0
26/3/2009,463.0,264.95,262.61
26/3/2009,512.7,268.45,268.61
26/3/2009,562.3,272.65,272.38998
26/3/2009,613.5,277.15,275.96
26/3/2009,663.8,279.65,280.05
26/3/2009,713.4,282.34999999999997,283.34
26/3/2009,763.3,287.25,284.71
26/3/2009,812.4,287.65,285.25998
26/3/2009,862.0,285.95,--
26/3/2009,913.1,288.54999999999995,--
26/3/2009,962.8,292.04999999999995,--
26/3/2009,1013.5,297.65,--
1/4/2009,59.9,203.54999999999998,201.86
1/4/2009,110.1,191.74999999999997,193.14
1/4/2009,160.0,209.14999999999998,204.59999
1/4/2009,210.4,221.64999999999998,220.72
1/4/2009,260.2,234.64999999999998,233.59
1/4/2009,310.1,244.34999999999997,244.31
1/4/2009,359.4,250.04999999999998,252.56
1/4/2009,410.4,258.45,259.3
1/4/2009,459.5,264.25,261.19
1/4/2009,509.7,266.65,--
1/4/2009,559.5,271.84999999999997,--
1/4/2009,609.8,277.15,--
1/4/2009,660.3,280.54999999999995,--
1/4/2009,709.7,283.15,--
1/4/2009,759.1,285.84999999999997,--
1/4/2009,809.6,289.04999999999995,--
1/4/2009,859.6,292.15,--
1/4/2009,910.0,294.15,--
1/4/2009,960.5,296.15,--
1/4/2009,1010.0,300.15,--
2/4/2009,60.0,199.64999999999998,201.76
2/4/2009,109.9,193.34999999999997,193.06999
2/4/2009,159.7,207.64999999999998,205.93
2/4/2009,210.2,222.04999999999998,221.43
2/4/2009,260.3,233.74999999999997,232.51999
2/4/2009,309.8,242.64999999999998,242.31
2/4/2009,360.5,251.24999999999997,250.59
2/4/2009,409.5,258.15,257.46
2/4/2009,460.7,264.34999999999997,261.33
2/4/2009,510.7,268.65,266.82
2/4/2009,559.6,273.25,270.59
2/4/2009,609.1,276.25,274.96
2/4/2009,659.2,280.15,280.78
2/4/2009,709.1,283.95,283.6
2/4/2009,760.5,287.34999999999997,288.07
2/4/2009,811.0,289.75,291.36
2/4/2009,860.0,291.15,293.41
2/4/2009,909.5,293.04999999999995,295.44998
2/4/2009,960.6,296.34999999999997,301.16998
2/4/2009,1010.0,300.15,303.00998
27/8/2010,67.9,201.95,200.5
27/8/2010,118.2,199.14999999999998,199.94
27/8/2010,168.1,210.34999999999997,211.4
27/8/2010,217.7,223.14999999999998,224.19
27/8/2010,267.8,235.24999999999997,234.37999
27/8/2010,318.2,244.74999999999997,244.37999
27/8/2010,367.8,252.54999999999998,252.95999
27/8/2010,417.8,257.95,258.06
27/8/2010,468.4,263.45,264.84
27/8/2010,517.5,269.84999999999997,268.97
27/8/2010,568.2,273.75,272.91998
27/8/2010,617.8,276.04999999999995,276.85
27/8/2010,667.4,281.65,281.21
27/8/2010,718.9,286.75,284.1
27/8/2010,767.5,288.95,285.12
27/8/2010,817.4,284.84999999999997,285.69998
27/8/2010,868.5,286.54999999999995,286.25998
27/8/2010,918.1,289.75,286.81
27/8/2010,968.2,293.65,290.82
27/8/2010,1018.0,297.65,--
28/8/2010,67.0,202.84999999999997,201.76999
28/8/2010,117.2,200.24999999999997,201.14
28/8/2010,166.8,212.24999999999997,210.47
28/8/2010,217.2,222.04999999999998,221.79999
28/8/2010,267.4,234.04999999999998,--
28/8/2010,316.7,244.04999999999998,--
28/8/2010,366.8,253.04999999999998,--
28/8/2010,416.7,258.34999999999997,--
28/8/2010,466.8,262.75,--
28/8/2010,517.0,269.34999999999997,--
28/8/2010,566.9,273.65,--
28/8/2010,616.5,278.65,--
28/8/2010,666.8,280.84999999999997,--
28/8/2010,716.2,285.75,--
28/8/2010,767.4,288.75,--
28/8/2010,816.9,284.34999999999997,--
28/8/2010,866.2,287.45,--
28/8/2010,916.8,289.84999999999997,--
28/8/2010,967.3,293.25,--
28/8/2010,1017.4,297.45,--
28/8/2010,66.9,207.34999999999997,202.44
28/8/2010,117.0,199.45,199.25
28/8/2010,167.1,212.24999999999997,210.84
28/8/2010,217.0,222.54999999999998,223.62
28/8/2010,266.7,234.14999999999998,233.78
28/8/2010,316.8,244.74999999999997,244.2
28/8/2010,367.5,254.34999999999997,250.04
28/8/2010,417.5,259.75,257.5
28/8/2010,466.8,262.25,261.46
28/8/2010,516.4,268.34999999999997,266.91
28/8/2010,567.2,273.95,270.41998
28/8/2010,616.8,279.25,274.1
28/8/2010,666.4,282.45,278.79
28/8/2010,717.6,285.45,283.04
28/8/2010,767.5,287.95,285.03
28/8/2010,816.7,284.75,284.77
28/8/2010,867.6,286.95,284.87
28/8/2010,916.7,289.84999999999997,284.97
28/8/2010,967.0,293.84999999999997,290.79
28/8/2010,1016.4,297.45,--
28/8/2011,64.9,206.64999999999998,204.59
28/8/2011,115.1,199.04999999999998,199.39
28/8/2011,165.1,208.84999999999997,210.01
28/8/2011,215.1,221.45,218.12999
28/8/2011,265.3,233.84999999999997,231.37999
28/8/2011,315.4,244.24999999999997,241.5
28/8/2011,364.9,252.45,247.64
28/8/2011,414.7,258.65,255.59999
28/8/2011,465.5,264.34999999999997,260.12
28/8/2011,515.2,268.34999999999997,265.88
28/8/2011,565.2,272.15,269.13998
28/8/2011,614.9,276.45,272.08
28/8/2011,664.7,281.25,275.66
28/8/2011,714.4,284.54999999999995,278.91
28/8/2011,764.6,286.65,280.43
28/8/2011,815.3,289.04999999999995,283.31
28/8/2011,864.8,290.95,284.74
28/8/2011,915.0,293.75,286.22
28/8/2011,965.5,296.54999999999995,289.44998
28/8/2011,1015.1,300.45,--
29/8/2011,65.1,205.04999999999998,203.95999
29/8/2011,114.9,200.54999999999998,199.03
29/8/2011,164.9,208.54999999999998,211.0
29/8/2011,215.0,222.24999999999997,219.97
29/8/2011,265.1,233.64999999999998,233.93999
29/8/2011,315.0,243.45,244.12
29/8/2011,364.7,251.54999999999998,250.20999
29/8/2011,414.5,258.04999999999995,258.21
29/8/2011,465.4,264.54999999999995,262.94
29/8/2011,514.4,270.25,269.21
29/8/2011,565.5,273.45,272.91
29/8/2011,615.3,276.84999999999997,276.37
29/8/2011,665.5,280.75,280.63998
29/8/2011,714.5,284.54999999999995,284.37
29/8/2011,765.0,287.04999999999995,286.04
29/8/2011,815.1,288.84999999999997,289.0
29/8/2011,864.6,290.75,290.4
29/8/2011,915.4,293.45,291.88
29/8/2011,964.7,296.65,295.27
29/8/2011,1015.1,300.34999999999997,--
30/8/2011,65.1,206.24999999999997,204.84999
30/8/2011,114.9,198.14999999999998,199.42
30/8/2011,164.8,208.95,210.03
30/8/2011,214.9,223.24999999999997,218.31999
30/8/2011,265.0,234.84999999999997,230.98999
30/8/2011,315.0,244.14999999999998,240.37
30/8/2011,365.4,251.45,246.12999
30/8/2011,415.3,257.84999999999997,253.84
30/8/2011,464.8,263.54999999999995,258.43
30/8/2011,514.9,269.34999999999997,264.57
30/8/2011,565.3,273.04999999999995,268.16
30/8/2011,615.6,276.25,271.25998
30/8/2011,664.5,279.65,274.6
30/8/2011,714.3,283.25,277.97
30/8/2011,764.5,287.34999999999997,279.56
30/8/2011,815.3,289.15,282.6
30/8/2011,865.3,292.04999999999995,284.24
30/8/2011,914.9,294.54999999999995,286.07
30/8/2011,964.9,296.54999999999995,290.08
30/8/2011,1015.2,300.75,--
